pais,año,indice_quiebras_eurostat
Romania,2017,47.4
Romania,2018,67.3
Romania,2019,79.4
Romania,2020,74.2
Romania,2021,83.2
Romania,2022,47.0
Romania,2023,44.9
Slovenia,2015,100.0
Slovenia,2016,114.9
Slovenia,2017,136.1
Slovenia,2018,152.5
Slovenia,2019,113.9
Slovenia,2020,102.5
Slovenia,2021,93.1
Slovenia,2022,96.0
Slovenia,2023,93.1
Slovakia,2015,100.0
Slovakia,2016,78.0
Slovakia,2017,296.0
Slovakia,2018,1088.0
Slovakia,2019,1316.0
Slovakia,2020,826.0
Slovakia,2021,826.0
Slovakia,2022,518.0
Slovakia,2023,668.0
Austria,2019,126.6
Austria,2020,87.8
Austria,2021,100.0
Austria,2022,130.4
Austria,2023,147.6
Austria,2024,173.2
Austria,2025,171.9
Belgium,2015,125.9
Belgium,2016,111.8
Belgium,2017,124.2
Belgium,2018,128.6
Belgium,2019,139.5
Belgium,2020,93.7
Belgium,2021,100.0
Belgium,2022,138.4
Belgium,2023,158.0
Belgium,2024,185.6
Belgium,2025,197.4
Bulgaria,2015,197.2
Bulgaria,2016,140.3
Bulgaria,2017,152.1
Bulgaria,2018,143.8
Bulgaria,2019,131.9
Bulgaria,2020,93.8
Bulgaria,2021,100.0
Bulgaria,2022,116.0
Bulgaria,2023,115.3
Bulgaria,2024,77.1
Bulgaria,2025,50.7
Cyprus,2015,1900.0
Cyprus,2016,600.0
Cyprus,2017,900.0
Cyprus,2018,700.0
Cyprus,2019,1200.0
Cyprus,2020,300.0
Cyprus,2021,100.0
Cyprus,2022,500.0
Cyprus,2023,600.0
Cyprus,2024,100.0
Cyprus,2025,200.0
Czechia,2021,100.0
Czechia,2022,110.8
Czechia,2023,101.9
Czechia,2024,112.9
Czechia,2025,137.0
Germany,2015,159.8
Germany,2016,152.4
Germany,2017,136.1
Germany,2018,137.6
Germany,2019,125.6
Germany,2020,103.1
Germany,2021,100.0
Germany,2022,111.3
Germany,2023,127.1
Germany,2024,152.5
Germany,2025,167.8
Denmark,2015,50.9
Denmark,2016,73.5
Denmark,2017,68.5
Denmark,2018,82.4
Denmark,2019,93.9
Denmark,2020,82.0
Denmark,2021,100.0
Denmark,2022,106.0
Denmark,2023,107.0
Denmark,2024,95.6
Denmark,2025,89.2
Euro area - 19 countries  (2015-2022),2015,193.2
Euro area - 19 countries  (2015-2022),2016,160.0
Euro area - 19 countries  (2015-2022),2017,142.5
Euro area - 19 countries  (2015-2022),2018,142.7
Euro area - 19 countries  (2015-2022),2019,136.3
Euro area - 19 countries  (2015-2022),2020,93.5
Euro area - 19 countries  (2015-2022),2021,100.0
Euro area - 19 countries  (2015-2022),2022,118.3
Euro area - 19 countries  (2015-2022),2023,134.4
Euro area – 20 countries (2023-2025),2015,191.9
Euro area – 20 countries (2023-2025),2016,161.1
Euro area – 20 countries (2023-2025),2017,142.9
Euro area – 20 countries (2023-2025),2018,142.6
Euro area – 20 countries (2023-2025),2019,135.8
Euro area – 20 countries (2023-2025),2020,93.2
Euro area – 20 countries (2023-2025),2021,100.0
Euro area – 20 countries (2023-2025),2022,120.0
Euro area – 20 countries (2023-2025),2023,146.3
Euro area – 20 countries (2023-2025),2024,171.5
Euro area – 20 countries (2023-2025),2025,184.4
Euro area – 21 countries (from 2026),2015,192.0
Euro area – 21 countries (from 2026),2016,160.9
Euro area – 21 countries (from 2026),2017,143.0
Euro area – 21 countries (from 2026),2018,142.6
Euro area – 21 countries (from 2026),2019,135.8
Euro area – 21 countries (from 2026),2020,93.2
Euro area – 21 countries (from 2026),2021,100.0
Euro area – 21 countries (from 2026),2022,119.9
Euro area – 21 countries (from 2026),2023,146.1
Euro area – 21 countries (from 2026),2024,170.8
Euro area – 21 countries (from 2026),2025,183.3
Estonia,2015,141.2
Estonia,2016,182.4
Estonia,2017,141.2
Estonia,2018,129.4
Estonia,2019,152.9
Estonia,2020,123.5
Estonia,2021,100.0
Estonia,2022,94.1
Estonia,2023,182.4
Estonia,2024,164.7
Estonia,2025,82.4
Greece,2021,
Greece,2022,
Greece,2023,540.0
Greece,2024,
Greece,2025,860.0
Spain,2015,108.9
Spain,2016,81.1
Spain,2017,69.2
Spain,2018,68.9
Spain,2019,61.1
Spain,2020,54.0
Spain,2021,100.0
Spain,2022,153.5
Spain,2023,131.0
Spain,2024,169.6
Spain,2025,172.7
European Union - 27 countries (from 2020),2015,199.9
European Union - 27 countries (from 2020),2016,160.9
European Union - 27 countries (from 2020),2017,141.9
European Union - 27 countries (from 2020),2018,147.9
European Union - 27 countries (from 2020),2019,137.6
European Union - 27 countries (from 2020),2020,98.5
European Union - 27 countries (from 2020),2021,100.0
European Union - 27 countries (from 2020),2022,120.3
European Union - 27 countries (from 2020),2023,148.7
European Union - 27 countries (from 2020),2024,165.5
European Union - 27 countries (from 2020),2025,175.1
Finland,2020,75.5
Finland,2021,100.0
Finland,2022,102.0
Finland,2023,141.7
Finland,2024,135.3
Finland,2025,139.1
France,2015,261.8
France,2016,226.3
France,2017,200.5
France,2018,196.3
France,2019,183.1
France,2020,101.3
France,2021,100.0
France,2022,139.0
France,2023,195.4
France,2024,245.1
France,2025,237.5
Croatia,2015,67.5
Croatia,2016,266.9
Croatia,2017,179.9
Croatia,2018,129.2
Croatia,2019,87.7
Croatia,2020,63.1
Croatia,2021,100.0
Croatia,2022,133.1
Croatia,2023,113.8
Croatia,2024,141.3
Croatia,2025,126.8
Hungary,2015,
Hungary,2016,
Hungary,2017,
Hungary,2018,
Hungary,2019,
Hungary,2020,
Hungary,2021,100.0
Hungary,2022,203.9
Hungary,2023,480.5
Hungary,2024,392.2
Hungary,2025,390.7
Iceland,2015,76.1
Iceland,2016,113.8
Iceland,2017,89.9
Iceland,2018,110.7
Iceland,2019,96.2
Iceland,2020,108.2
Iceland,2021,100.0
Iceland,2022,55.3
Iceland,2023,189.9
Iceland,2024,144.7
Iceland,2025,143.4
Italy,2015,188.9
Italy,2016,174.5
Italy,2017,143.8
Italy,2018,138.9
Italy,2019,121.6
Italy,2020,82.6
Italy,2021,100.0
Italy,2022,81.0
Italy,2023,79.3
Italy,2024,104.1
Italy,2025,128.9
Lithuania,2015,239.0
Lithuania,2016,260.3
Lithuania,2017,257.4
Lithuania,2018,241.9
Lithuania,2019,196.3
Lithuania,2020,116.9
Lithuania,2021,100.0
Lithuania,2022,172.8
Lithuania,2023,159.6
Lithuania,2024,178.7
Lithuania,2025,169.1
Luxembourg,2015,101.7
Luxembourg,2016,110.8
Luxembourg,2017,90.8
Luxembourg,2018,95.8
Luxembourg,2019,124.2
Luxembourg,2020,91.7
Luxembourg,2021,100.0
Luxembourg,2022,97.5
Luxembourg,2023,133.3
Luxembourg,2024,166.7
Luxembourg,2025,138.3
Latvia,2015,355.6
Latvia,2016,286.1
Latvia,2017,230.6
Latvia,2018,216.7
Latvia,2019,255.6
Latvia,2020,155.6
Latvia,2021,100.0
Latvia,2022,150.0
Latvia,2023,111.1
Latvia,2024,133.3
Latvia,2025,147.2
Montenegro,2021,100.0
Montenegro,2022,127.9
Montenegro,2023,111.6
Montenegro,2024,90.7
Montenegro,2025,
North Macedonia,2020,65.5
North Macedonia,2021,100.0
North Macedonia,2022,69.0
North Macedonia,2023,51.7
North Macedonia,2024,72.4
North Macedonia,2025,89.7
Malta,2015,200.0
Malta,2016,200.0
Malta,2017,400.0
Malta,2018,200.0
Malta,2019,100.0
Malta,2020,100.0
Malta,2021,100.0
Malta,2022,0.0
Malta,2023,0.0
Malta,2024,0.0
Malta,2025,0.0
Netherlands,2015,253.6
Netherlands,2016,170.0
Netherlands,2017,147.9
Netherlands,2018,142.6
Netherlands,2019,159.9
Netherlands,2020,138.2
Netherlands,2021,100.0
Netherlands,2022,107.3
Netherlands,2023,151.1
Netherlands,2024,195.0
Netherlands,2025,153.9
Norway,2015,100.9
Norway,2016,103.3
Norway,2017,107.4
Norway,2018,118.0
Norway,2019,129.3
Norway,2020,106.5
Norway,2021,100.0
Norway,2022,105.6
Norway,2023,128.6
Norway,2024,136.2
Norway,2025,123.0
Poland,2015,306.1
Poland,2016,214.3
Poland,2017,181.6
Poland,2018,226.5
Poland,2019,183.7
Poland,2020,146.9
Poland,2021,100.0
Poland,2022,122.4
Poland,2023,120.4
Poland,2024,116.3
Poland,2025,110.2
Portugal,2015,338.5
Portugal,2016,231.2
Portugal,2017,167.0
Portugal,2018,144.3
Portugal,2019,106.8
Portugal,2020,94.1
Portugal,2021,100.0
Portugal,2022,94.6
Portugal,2023,119.9
Portugal,2024,115.8
Portugal,2025,108.1
Romania,2015,120.2
Romania,2016,55.3
Romania,2017,57.0
Romania,2018,80.9
Romania,2019,95.5
Romania,2020,89.2
Romania,2021,100.0
Romania,2022,56.5
Romania,2023,53.9
Romania,2024,64.4
Romania,2025,68.4
Serbia,2021,
Serbia,2022,
Serbia,2023,
Serbia,2024,
Serbia,2025,
Sweden,2021,100.0
Sweden,2022,102.4
Sweden,2023,128.6
Sweden,2024,166.8
Sweden,2025,160.2
Slovenia,2015,107.4
Slovenia,2016,123.4
Slovenia,2017,146.3
Slovenia,2018,163.8
Slovenia,2019,122.3
Slovenia,2020,110.1
Slovenia,2021,100.0
Slovenia,2022,103.2
Slovenia,2023,100.0
Slovenia,2024,125.0
Slovenia,2025,147.9
Slovakia,2015,12.1
Slovakia,2016,9.4
Slovakia,2017,35.8
Slovakia,2018,131.7
Slovakia,2019,159.3
Slovakia,2020,100.0
Slovakia,2021,100.0
Slovakia,2022,62.7
Slovakia,2023,80.9
Slovakia,2024,75.5
Slovakia,2025,74.3
Ukraine,2021,100.0
Ukraine,2022,55.6
Ukraine,2023,90.5
Ukraine,2024,96.8
Ukraine,2025,84.1
Kosovo*,2021,100.0
Kosovo*,2022,99.8
Kosovo*,2023,109.3
Kosovo*,2024,97.6
Kosovo*,2025,73.6
Austria,2020,-30.6
Austria,2021,13.9
Austria,2022,30.4
Austria,2023,13.2
Austria,2024,17.3
Austria,2025,-0.8
Belgium,2015,-10.1
Belgium,2016,-11.2
Belgium,2017,11.1
Belgium,2018,3.5
Belgium,2019,8.5
Belgium,2020,-32.8
Belgium,2021,6.7
Belgium,2022,38.4
Belgium,2023,14.2
Belgium,2024,17.5
Belgium,2025,6.4
Bulgaria,2015,14.5
Bulgaria,2016,-28.9
Bulgaria,2017,8.4
Bulgaria,2018,-5.5
Bulgaria,2019,-8.3
Bulgaria,2020,-28.9
Bulgaria,2021,6.6
Bulgaria,2022,16.0
Bulgaria,2023,-0.6
Bulgaria,2024,-33.1
Bulgaria,2025,-34.2
Cyprus,2016,-68.4
Cyprus,2017,50.0
Cyprus,2018,-22.2
Cyprus,2019,71.4
Cyprus,2020,-75.0
Cyprus,2021,-66.7
Cyprus,2022,400.0
Cyprus,2023,20.0
Cyprus,2024,-83.3
Cyprus,2025,100.0
Czechia,2022,10.8
Czechia,2023,-8.0
Czechia,2024,10.8
Czechia,2025,21.3
Germany,2015,-2.7
Germany,2016,-4.6
Germany,2017,-10.7
Germany,2018,1.1
Germany,2019,-8.7
Germany,2020,-17.9
Germany,2021,-3.0
Germany,2022,11.3
Germany,2023,14.2
Germany,2024,20.0
Germany,2025,10.0
Denmark,2015,16.2
Denmark,2016,44.4
Denmark,2017,-6.8
Denmark,2018,20.3
Denmark,2019,14.0
Denmark,2020,-12.7
Denmark,2021,22.0
Denmark,2022,6.0
Denmark,2023,0.9
Denmark,2024,-10.7
Denmark,2025,-6.7
Euro area - 19 countries  (2015-2022),2015,-6.6
Euro area - 19 countries  (2015-2022),2016,-17.2
Euro area - 19 countries  (2015-2022),2017,-10.9
Euro area - 19 countries  (2015-2022),2018,0.1
Euro area - 19 countries  (2015-2022),2019,-4.5
Euro area - 19 countries  (2015-2022),2020,-31.4
Euro area - 19 countries  (2015-2022),2021,7.0
Euro area - 19 countries  (2015-2022),2022,18.3
Euro area - 19 countries  (2015-2022),2023,13.6
Euro area – 20 countries (2023-2025),2015,-6.7
Euro area – 20 countries (2023-2025),2016,-16.1
Euro area – 20 countries (2023-2025),2017,-11.3
Euro area – 20 countries (2023-2025),2018,-0.2
Euro area – 20 countries (2023-2025),2019,-4.8
Euro area – 20 countries (2023-2025),2020,-31.4
Euro area – 20 countries (2023-2025),2021,7.3
Euro area – 20 countries (2023-2025),2022,20.0
Euro area – 20 countries (2023-2025),2023,21.9
Euro area – 20 countries (2023-2025),2024,17.2
Euro area – 20 countries (2023-2025),2025,7.5
Euro area – 21 countries (from 2026),2015,-6.5
Euro area – 21 countries (from 2026),2016,-16.2
Euro area – 21 countries (from 2026),2017,-11.1
Euro area – 21 countries (from 2026),2018,-0.3
Euro area – 21 countries (from 2026),2019,-4.8
Euro area – 21 countries (from 2026),2020,-31.4
Euro area – 21 countries (from 2026),2021,7.3
Euro area – 21 countries (from 2026),2022,19.9
Euro area – 21 countries (from 2026),2023,21.9
Euro area – 21 countries (from 2026),2024,16.9
Euro area – 21 countries (from 2026),2025,7.3
Estonia,2015,-27.3
Estonia,2016,29.2
Estonia,2017,-22.6
Estonia,2018,-8.4
Estonia,2019,18.2
Estonia,2020,-19.2
Estonia,2021,-19.0
Estonia,2022,-5.9
Estonia,2023,93.8
Estonia,2024,-9.7
Estonia,2025,-50.0
Greece,2022,
Greece,2023,
Greece,2024,
Greece,2025,
Spain,2015,-34.4
Spain,2016,-25.5
Spain,2017,-14.7
Spain,2018,-0.4
Spain,2019,-11.3
Spain,2020,-11.6
Spain,2021,85.2
Spain,2022,53.5
Spain,2023,-14.7
Spain,2024,29.5
Spain,2025,1.8
European Union - 27 countries (from 2020),2015,-13.1
European Union - 27 countries (from 2020),2016,-19.5
European Union - 27 countries (from 2020),2017,-11.8
European Union - 27 countries (from 2020),2018,4.2
European Union - 27 countries (from 2020),2019,-7.0
European Union - 27 countries (from 2020),2020,-28.4
European Union - 27 countries (from 2020),2021,1.5
European Union - 27 countries (from 2020),2022,20.3
European Union - 27 countries (from 2020),2023,23.6
European Union - 27 countries (from 2020),2024,11.3
European Union - 27 countries (from 2020),2025,5.8
Finland,2021,32.5
Finland,2022,2.0
Finland,2023,38.9
Finland,2024,-4.5
Finland,2025,2.8
France,2015,-0.4
France,2016,-13.6
France,2017,-11.4
France,2018,-2.1
France,2019,-6.7
France,2020,-44.7
France,2021,-1.3
France,2022,39.0
France,2023,40.6
France,2024,25.4
France,2025,-3.1
Croatia,2016,295.4
Croatia,2017,-32.6
Croatia,2018,-28.2
Croatia,2019,-32.1
Croatia,2020,-28.1
Croatia,2021,58.5
Croatia,2022,33.1
Croatia,2023,-14.5
Croatia,2024,24.2
Croatia,2025,-10.3
Hungary,2016,
Hungary,2017,
Hungary,2018,
Hungary,2019,
Hungary,2020,
Hungary,2021,
Hungary,2022,103.9
Hungary,2023,135.7
Hungary,2024,-18.4
Hungary,2025,-0.4
Iceland,2015,-17.7
Iceland,2016,49.5
Iceland,2017,-21.0
Iceland,2018,23.1
Iceland,2019,-13.1
Iceland,2020,12.5
Iceland,2021,-7.6
Iceland,2022,-44.7
Iceland,2023,243.4
Iceland,2024,-23.8
Iceland,2025,-0.9
Italy,2015,-8.6
Italy,2016,-7.6
Italy,2017,-17.6
Italy,2018,-3.4
Italy,2019,-12.5
Italy,2020,-32.1
Italy,2021,21.1
Italy,2022,-19.0
Italy,2023,-2.1
Italy,2024,31.3
Italy,2025,23.8
Lithuania,2015,18.6
Lithuania,2016,8.9
Lithuania,2017,-1.1
Lithuania,2018,-6.0
Lithuania,2019,-18.9
Lithuania,2020,-40.4
Lithuania,2021,-14.5
Lithuania,2022,72.8
Lithuania,2023,-7.6
Lithuania,2024,12.0
Lithuania,2025,-5.4
Luxembourg,2015,5.2
Luxembourg,2016,8.9
Luxembourg,2017,-18.1
Luxembourg,2018,5.5
Luxembourg,2019,29.6
Luxembourg,2020,-26.2
Luxembourg,2021,9.1
Luxembourg,2022,-2.5
Luxembourg,2023,36.7
Luxembourg,2024,25.1
Luxembourg,2025,-17.0
Latvia,2016,-19.5
Latvia,2017,-19.4
Latvia,2018,-6.0
Latvia,2019,18.0
Latvia,2020,-39.1
Latvia,2021,-35.7
Latvia,2022,50.0
Latvia,2023,-25.9
Latvia,2024,20.0
Latvia,2025,10.4
Montenegro,2022,27.9
Montenegro,2023,-12.7
Montenegro,2024,-18.7
Montenegro,2025,
North Macedonia,2021,52.7
North Macedonia,2022,-31.0
North Macedonia,2023,-25.1
North Macedonia,2024,40.0
North Macedonia,2025,23.9
Malta,2016,0.0
Malta,2017,100.0
Malta,2018,-50.0
Malta,2019,-50.0
Malta,2020,0.0
Malta,2021,0.0
Netherlands,2015,-18.6
Netherlands,2016,-33.0
Netherlands,2017,-13.0
Netherlands,2018,-3.6
Netherlands,2019,12.1
Netherlands,2020,-13.6
Netherlands,2021,-27.6
Netherlands,2022,7.3
Netherlands,2023,40.8
Netherlands,2024,29.1
Netherlands,2025,-21.1
Norway,2016,2.4
Norway,2017,4.0
Norway,2018,9.9
Norway,2019,9.6
Norway,2020,-17.6
Norway,2021,-6.1
Norway,2022,5.6
Norway,2023,21.8
Norway,2024,5.9
Norway,2025,-9.7
Poland,2015,-22.7
Poland,2016,-30.0
Poland,2017,-15.3
Poland,2018,24.7
Poland,2019,-18.9
Poland,2020,-20.0
Poland,2021,-31.9
Poland,2022,22.4
Poland,2023,-1.6
Poland,2024,-3.4
Poland,2025,-5.2
Portugal,2015,106.0
Portugal,2016,-31.7
Portugal,2017,-27.8
Portugal,2018,-13.6
Portugal,2019,-26.0
Portugal,2020,-11.9
Portugal,2021,6.3
Portugal,2022,-5.4
Portugal,2023,26.7
Portugal,2024,-3.4
Portugal,2025,-6.6
Romania,2016,-54.0
Romania,2017,3.1
Romania,2018,41.9
Romania,2019,18.0
Romania,2020,-6.6
Romania,2021,12.1
Romania,2022,-43.5
Romania,2023,-4.6
Romania,2024,19.5
Romania,2025,6.2
Serbia,2022,
Serbia,2023,
Serbia,2024,
Serbia,2025,
Sweden,2022,2.4
Sweden,2023,25.6
Sweden,2024,29.7
Sweden,2025,-4.0
Slovenia,2016,14.9
Slovenia,2017,18.6
Slovenia,2018,12.0
Slovenia,2019,-25.3
Slovenia,2020,-10.0
Slovenia,2021,-9.2
Slovenia,2022,3.2
Slovenia,2023,-3.1
Slovenia,2024,25.0
Slovenia,2025,18.3
Slovakia,2016,-22.3
Slovakia,2017,280.9
Slovakia,2018,267.9
Slovakia,2019,21.0
Slovakia,2020,-37.2
Slovakia,2021,0.0
Slovakia,2022,-37.3
Slovakia,2023,29.0
Slovakia,2024,-6.7
Slovakia,2025,-1.6
Ukraine,2022,-44.4
Ukraine,2023,62.8
Ukraine,2024,7.0
Ukraine,2025,-13.1
Kosovo*,2022,-0.2
Kosovo*,2023,9.5
Kosovo*,2024,-10.7
Kosovo*,2025,-24.6
Belgium,2015,100.0
Belgium,2016,95.0
Belgium,2017,101.5
Belgium,2018,95.4
Belgium,2019,98.8
Belgium,2020,65.3
Belgium,2021,56.0
Belgium,2022,80.8
Belgium,2023,83.8
Bulgaria,2015,100.0
Bulgaria,2016,140.8
Bulgaria,2017,186.8
Bulgaria,2018,180.3
Bulgaria,2019,205.0
Bulgaria,2020,177.2
Bulgaria,2021,194.0
Bulgaria,2022,214.1
Bulgaria,2023,180.7
Cyprus,2015,100.0
Cyprus,2016,63.0
Cyprus,2017,48.1
Cyprus,2018,18.5
Cyprus,2019,33.3
Cyprus,2020,37.0
Cyprus,2021,40.7
Cyprus,2022,0.0
Cyprus,2023,11.1
Germany,2015,100.0
Germany,2016,88.2
Germany,2017,84.6
Germany,2018,76.7
Germany,2019,73.9
Germany,2020,57.5
Germany,2021,49.5
Germany,2022,52.3
Germany,2023,64.9
Denmark,2015,100.0
Denmark,2016,146.1
Denmark,2017,153.1
Denmark,2018,158.7
Denmark,2019,183.9
Denmark,2020,115.3
Denmark,2021,151.0
Denmark,2022,157.0
Denmark,2023,142.1
Euro area - 19 countries  (2015-2022),2015,100.0
Euro area - 19 countries  (2015-2022),2016,87.0
Euro area - 19 countries  (2015-2022),2017,86.1
Euro area - 19 countries  (2015-2022),2018,86.8
Euro area - 19 countries  (2015-2022),2019,88.4
Euro area - 19 countries  (2015-2022),2020,61.1
Euro area - 19 countries  (2015-2022),2021,70.1
Euro area - 19 countries  (2015-2022),2022,84.4
Euro area - 19 countries  (2015-2022),2023,95.2
Euro area – 20 countries (2023-2025),2015,100.0
Euro area – 20 countries (2023-2025),2016,90.0
Euro area – 20 countries (2023-2025),2017,87.9
Euro area – 20 countries (2023-2025),2018,87.9
Euro area – 20 countries (2023-2025),2019,89.1
Euro area – 20 countries (2023-2025),2020,61.5
Euro area – 20 countries (2023-2025),2021,70.7
Euro area – 20 countries (2023-2025),2022,84.9
Euro area – 20 countries (2023-2025),2023,95.4
Estonia,2015,100.0
Estonia,2016,123.1
Estonia,2017,146.2
Estonia,2018,119.2
Estonia,2019,111.5
Estonia,2020,84.6
Estonia,2021,80.8
Estonia,2022,50.0
Estonia,2023,84.6
Spain,2015,100.0
Spain,2016,81.2
Spain,2017,83.1
Spain,2018,88.8
Spain,2019,104.2
Spain,2020,79.7
Spain,2021,143.8
Spain,2022,209.9
Spain,2023,222.5
European Union - 27 countries (from 2020),2015,100.0
European Union - 27 countries (from 2020),2016,88.3
European Union - 27 countries (from 2020),2017,86.7
European Union - 27 countries (from 2020),2018,87.1
European Union - 27 countries (from 2020),2019,90.8
European Union - 27 countries (from 2020),2020,66.1
European Union - 27 countries (from 2020),2021,71.4
European Union - 27 countries (from 2020),2022,80.7
European Union - 27 countries (from 2020),2023,92.2
France,2015,100.0
France,2016,91.0
France,2017,87.7
France,2018,84.3
France,2019,81.1
France,2020,49.5
France,2021,43.1
France,2022,66.7
France,2023,87.6
Croatia,2015,100.0
Croatia,2016,443.9
Croatia,2017,306.1
Croatia,2018,217.5
Croatia,2019,169.3
Croatia,2020,116.6
Croatia,2021,144.5
Croatia,2022,144.0
Croatia,2023,111.7
Hungary,2015,
Hungary,2016,
Hungary,2017,
Hungary,2018,
Hungary,2019,
Hungary,2020,
Hungary,2021,39.8
Hungary,2022,75.0
Hungary,2023,208.8
Iceland,2015,100.0
Iceland,2016,193.3
Iceland,2017,129.8
Iceland,2018,166.3
Iceland,2019,134.6
Iceland,2020,116.3
Iceland,2021,164.4
Iceland,2022,52.9
Iceland,2023,183.7
Italy,2015,100.0
Italy,2016,87.3
Italy,2017,80.4
Italy,2018,72.8
Italy,2019,74.6
Italy,2020,48.0
Italy,2021,58.6
Italy,2022,45.7
Italy,2023,47.9
Lithuania,2015,100.0
Lithuania,2016,135.0
Lithuania,2017,162.8
Lithuania,2018,119.6
Lithuania,2019,75.9
Lithuania,2020,30.9
Lithuania,2021,30.4
Lithuania,2022,39.1
Lithuania,2023,44.8
Luxembourg,2015,100.0
Luxembourg,2016,126.1
Luxembourg,2017,95.7
Luxembourg,2018,123.9
Luxembourg,2019,122.9
Luxembourg,2020,109.0
Luxembourg,2021,127.7
Luxembourg,2022,102.7
Luxembourg,2023,94.7
Latvia,2015,100.0
Latvia,2016,93.8
Latvia,2017,75.2
Latvia,2018,71.1
Latvia,2019,63.6
Latvia,2020,40.1
Latvia,2021,26.9
Latvia,2022,29.8
Latvia,2023,23.1
Malta,2015,100.0
Malta,2016,0.0
Malta,2017,100.0
Malta,2018,0.0
Malta,2019,75.0
Malta,2020,25.0
Malta,2021,50.0
Malta,2022,0.0
Malta,2023,75.0
Netherlands,2015,100.0
Netherlands,2016,86.8
Netherlands,2017,65.7
Netherlands,2018,61.6
Netherlands,2019,65.9
Netherlands,2020,52.4
Netherlands,2021,25.8
Netherlands,2022,33.3
Netherlands,2023,52.8
Norway,2015,100.0
Norway,2016,93.9
Norway,2017,96.0
Norway,2018,113.9
Norway,2019,111.9
Norway,2020,88.8
Norway,2021,55.7
Norway,2022,68.9
Norway,2023,85.0
Poland,2015,100.0
Poland,2016,81.0
Poland,2017,73.9
Poland,2018,76.1
Poland,2019,91.3
Poland,2020,79.9
Poland,2021,50.0
Poland,2022,40.8
Poland,2023,51.1
Portugal,2015,100.0
Portugal,2016,76.2
Portugal,2017,60.6
Portugal,2018,51.1
Portugal,2019,45.4
Portugal,2020,43.4
Portugal,2021,39.3
Portugal,2022,31.4
Portugal,2023,35.4
Romania,2015,100.0
Romania,2016,44.5
Romania,2017,41.8
Romania,2018,55.1
Romania,2019,61.8
Romania,2020,56.5
Romania,2021,73.0
Romania,2022,28.2
Romania,2023,27.1
Slovenia,2015,100.0
Slovenia,2016,110.6
Slovenia,2017,130.5
Slovenia,2018,128.3
Slovenia,2019,115.5
Slovenia,2020,120.4
Slovenia,2021,104.4
Slovenia,2022,90.7
Slovenia,2023,74.8
Slovakia,2015,100.0
Slovakia,2016,68.9
Slovakia,2017,177.4
Slovakia,2018,386.8
Slovakia,2019,374.5
Slovakia,2020,217.9
Slovakia,2021,162.3
Slovakia,2022,137.7
Slovakia,2023,141.5
Austria,2019,185.1
Austria,2020,104.2
Austria,2021,100.0
Austria,2022,173.9
Austria,2023,194.1
Austria,2024,235.2
Austria,2025,236.8
Belgium,2015,178.6
Belgium,2016,169.8
Belgium,2017,181.3
Belgium,2018,170.5
Belgium,2019,176.6
Belgium,2020,116.7
Belgium,2021,100.0
Belgium,2022,144.4
Belgium,2023,149.6
Belgium,2024,167.0
Belgium,2025,168.1
Bulgaria,2015,51.6
Bulgaria,2016,72.6
Bulgaria,2017,100.8
Bulgaria,2018,92.9
Bulgaria,2019,105.7
Bulgaria,2020,91.3
Bulgaria,2021,100.0
Bulgaria,2022,110.4
Bulgaria,2023,93.1
Bulgaria,2024,102.7
Bulgaria,2025,123.8
Cyprus,2015,245.5
Cyprus,2016,154.5
Cyprus,2017,118.2
Cyprus,2018,45.5
Cyprus,2019,81.8
Cyprus,2020,90.9
Cyprus,2021,100.0
Cyprus,2022,0.0
Cyprus,2023,36.4
Cyprus,2024,36.4
Cyprus,2025,72.7
Czechia,2021,100.0
Czechia,2022,97.7
Czechia,2023,83.8
Czechia,2024,84.6
Czechia,2025,94.5
Germany,2015,201.9
Germany,2016,178.0
Germany,2017,170.9
Germany,2018,154.8
Germany,2019,149.2
Germany,2020,116.2
Germany,2021,100.0
Germany,2022,105.5
Germany,2023,132.4
Germany,2024,160.6
Germany,2025,180.3
Denmark,2015,66.2
Denmark,2016,96.8
Denmark,2017,101.4
Denmark,2018,105.1
Denmark,2019,121.8
Denmark,2020,76.3
Denmark,2021,100.0
Denmark,2022,103.8
Denmark,2023,93.9
Denmark,2024,77.7
Denmark,2025,77.3
Euro area - 19 countries  (2015-2022),2015,190.1
Euro area - 19 countries  (2015-2022),2016,167.7
Euro area - 19 countries  (2015-2022),2017,157.8
Euro area - 19 countries  (2015-2022),2018,148.7
Euro area - 19 countries  (2015-2022),2019,147.8
Euro area - 19 countries  (2015-2022),2020,102.1
Euro area - 19 countries  (2015-2022),2021,100.0
Euro area - 19 countries  (2015-2022),2022,112.2
Euro area - 19 countries  (2015-2022),2023,128.2
Euro area – 20 countries (2023-2025),2015,189.1
Euro area – 20 countries (2023-2025),2016,168.9
Euro area – 20 countries (2023-2025),2017,158.3
Euro area – 20 countries (2023-2025),2018,148.7
Euro area – 20 countries (2023-2025),2019,147.5
Euro area – 20 countries (2023-2025),2020,101.9
Euro area – 20 countries (2023-2025),2021,100.0
Euro area – 20 countries (2023-2025),2022,119.6
Euro area – 20 countries (2023-2025),2023,148.7
Euro area – 20 countries (2023-2025),2024,175.5
Euro area – 20 countries (2023-2025),2025,187.5
Euro area – 21 countries (from 2026),2015,184.6
Euro area – 21 countries (from 2026),2016,165.8
Euro area – 21 countries (from 2026),2017,156.5
Euro area – 21 countries (from 2026),2018,146.9
Euro area – 21 countries (from 2026),2019,146.2
